Date,TimeUTC,Latitude,Longitude,Magnitude,Depth
2010/11/02,06:39:55.6,-5.378,151.545,5.8, 41
2010/11/02,03:36:54.2,12.979,-91.224,4.9, 60
2010/11/01,23:16:48.7,16.997,-93.368,5.3,190
2010/11/01,15:01:21.8,-2.79, 99.42 ,4.5, 25
2010/11/01,13:19:19.0,-18.966,-175.099,4.8,242
2010/11/01,05:41:09.4,-6.738,150.445,4.9, 20
2010/11/01,05:16:35.8,-6.455,150.282,5.5, 15
2010/10/31,23:14:34.9,-20.569,178.080,4.8,658
2010/10/31,19:23:44.8,-6.188,130.535,4.8,150
2010/10/31,18:49:14.4,-6.223,150.036,5.1, 23
2010/10/31,16:53:29.0,36.509,-81.718,2.9,  4
2010/10/31,16:38:49.6,-6.385,150.172,5.7, 10
2010/10/31,15:12:41.0,32.789, 82.307,4.2, 46
2010/10/31,12:23:43.8,-3.413,100.118,5.1, 35
2010/10/31,09:58:10.2,-23.858,179.954,5.0,527
2010/10/31,07:10:40.8,-33.652,-71.856,5.2, 30
2010/10/31,04:30:45.2,-3.445, 99.533,4.5, 35
2010/10/31,02:21:54.8,17.16 ,-101.83,4.2, 56
2010/10/31,01:02:05.8,38.650,-119.57,4.2,  0
2010/10/31,00:01:53.5,-3.708, 99.728,4.9, 31
2010/10/30,22:43:54.5,46.770,153.406,5.1, 55
2010/10/30,19:29:13.4,43.132,-126.257,3.6, 10
2010/10/30,19:06:20.0,34.363,141.247,5.2, 39
2010/10/30,18:08:56.4, 0.956,125.299,4.5, 84
2010/10/30,17:45:46.1,-7.724,122.487,4.9,257
2010/10/30,15:18:38.2,-56.767,-142.613,6.4, 20
2010/10/30,10:39:24.5,-24.96,179.635,5.0,501
2010/10/30,09:54:00.0,-7.947,-71.194,4.7,617
2010/10/30,07:49:58.7,-5.299,152.214,4.7, 66
2010/10/30,07:07:22.0,-20.887,-178.571,4.9,598
2010/10/30,06:53:05.2,33.915,-118.322,1.8, 15
2010/10/30,06:23:44.4,-6.885,104.087,4.7, 22
2010/10/30,06:10:13.0,37.735,-77.46,2.4,  4
2010/10/30,01:09:25.2,20.145,-155.502,4.1, 35
2010/10/30,00:55:35.3,-3.684, 99.454,4.6, 23
2010/10/29,23:22:00.0,-38.37,177.850,4.4, 30
2010/10/29,18:37:12.3,32.833,-115.952,3.2, 10
2010/10/29,18:05:24.3,-3.433, 99.647,5.0, 10
2010/10/29,18:03:21.8,32.828,-115.954,3.9, 12
2010/10/29,17:23:47.4,33.770,-87.289,2.9,  1
2010/10/29,16:30:27.7,23.423,142.878,5.2, 58
2010/10/29,14:11:53.3,-29.472,-71.547,5.0, 35
2010/10/29,12:14:24.1, 7.213,127.374,4.6, 58
2010/10/29,08:10:01.3,18.958,-67.563,2.9, 41
2010/10/29,06:19:21.7, 2.785,128.281,5.2, 75
2010/10/29,06:13:33.0,-11.32,166.253,5.0,118
2010/10/29,05:20:21.6,36.816,-121.397,2.3,  8
