time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-12-31T17:57:13.000Z,64.1476,-150.7716,3.8,1.4,ml,5,212.399983008001,0.598278,0.25,ak,ak10926319,2013-12-31T18:04:33.317Z,"93km WSW of North Nenana, Alaska",earthquake
2013-12-31T17:53:20.100Z,33.9817,-116.7202,14.4,1.2,Ml,26,75.6,0.08084838,0.14,ci,ci11408330,2013-12-31T17:55:48.293Z,"9km NE of Cabazon, California",earthquake
2013-12-31T17:45:12.000Z,60.1853,-153.161,136.3,2.7,ml,78,97.1999922240006,0.1266625,0.88,ak,ak10926302,2013-12-31T18:03:58.846Z,"40km SW of Redoubt Volcano, Alaska",earthquake
2013-12-31T17:38:33.200Z,34.0507,-117.3405,2.8,1.2,Ml,16,108,0.04491576,0.19,ci,ci11408322,2013-12-31T17:40:41.967Z,"3km SW of Colton, California",earthquake
2013-12-31T17:21:18.200Z,33.544,-116.6152,14.1,1.1,Ml,30,68.4,0.00898315,0.17,ci,ci11408306,2013-12-31T17:23:38.008Z,"5km ESE of Anza, California",earthquake
2013-12-31T17:03:20.000Z,38.8193,-122.8245,2.8,1.1,Md,,86.4,0.00898315,0.02,nc,nc72133636,2013-12-31T17:44:05.153Z,"7km NW of The Geysers, California",earthquake
2013-12-31T16:11:33.600Z,34.144,-117.5972,9.1,1,Ml,15,118.8,0.09881468,0.16,ci,ci11408282,2013-12-31T16:13:42.304Z,"4km N of Rancho Cucamonga, California",earthquake
2013-12-31T15:58:10.000Z,62.574,-149.8906,93.3,1.2,ml,6,201.599983872001,0.2892575,0.55,ak,ak10925409,2013-12-31T16:34:35.156Z,"30km NNE of Talkeetna, Alaska",earthquake
2013-12-31T15:49:01.000Z,63.036,-150.7846,100,1.5,ml,16,93.5999925120006,0.4689206,0.3,ak,ak10925403,2013-12-31T15:56:54.066Z,"86km NNW of Talkeetna, Alaska",earthquake
2013-12-31T15:43:30.370Z,17.3888,146.0868,96.84,4.8,mb,,30,0.745,0.84,us,usc000lur4,2013-12-31T17:55:47.007Z,"86km SSE of Pagan, Northern Mariana Islands",earthquake
2013-12-31T15:37:04.300Z,37.3363,-122.4232,9.1,1.4,Md,,212.4,0.06288207,0.05,nc,nc72133606,2013-12-31T17:45:10.283Z,"14km S of Half Moon Bay, California",earthquake
2013-12-31T15:31:19.100Z,38.8118,-122.8287,2.7,1.4,Md,,57.6,0,0.03,nc,nc72133601,2013-12-31T17:16:07.073Z,"7km WNW of The Geysers, California",earthquake
2013-12-31T15:19:45.800Z,33.9518,-116.628,14.7,1.3,Ml,32,57.6,0.08983153,0.14,ci,ci11408266,2013-12-31T15:22:31.975Z,"9km NW of Garnet, California",earthquake
2013-12-31T15:06:52.400Z,33.2858,-116.2617,5.4,1.1,Ml,17,226.8,0.09881468,0.21,ci,ci11408250,2013-12-31T15:09:26.796Z,"11km ENE of Borrego Springs, California",earthquake
2013-12-31T15:06:14.380Z,34.3876,25.3093,26.5,4.2,mb,,208,1.91,0.92,us,usc000luqt,2013-12-31T16:55:59.150Z,"69km SSE of Pirgos, Greece",earthquake
2013-12-31T14:58:27.000Z,66.6239,-146.7,28.9,1.7,ml,8,107.999991360001,0.5839049,0.77,ak,ak10924958,2013-12-31T15:05:28.408Z,"63km W of Fort Yukon, Alaska",earthquake
2013-12-31T14:57:13.500Z,36.2573,-89.4437,0.4,2.1,md,17,53.9999956800003,0.03593261,0.11,nm,nm60068266,2013-12-31T17:55:07.074Z,"4km E of Ridgely, Tennessee",earthquake
2013-12-31T14:56:54.900Z,38.8223,-122.8442,2.4,1,Md,,75.6,0.00898315,0.02,nc,nc72133581,2013-12-31T15:23:04.913Z,"9km WNW of The Geysers, California",earthquake
2013-12-31T14:22:33.700Z,38.8268,-122.8035,3.1,1.4,Md,,50.4,0.00898315,0.03,nc,nc72133561,2013-12-31T16:26:06.768Z,"6km NW of The Geysers, California",earthquake
2013-12-31T14:15:44.300Z,17.8575,-67.1575,9,2,Md,4,327.6,0.15451023,0.31,pr,pr13365003,2013-12-31T15:42:36.285Z,"13km SSE of Pole Ojea, Puerto Rico",earthquake
2013-12-31T13:21:50.700Z,37.5318,-118.8235,6.3,1.3,Md,,151.2,0.05389892,0.03,nc,nc72133546,2013-12-31T15:40:06.823Z,"18km SE of Mammoth Lakes, California",earthquake
2013-12-31T13:08:07.000Z,60.7155,-149.2996,28.7,1.2,ml,12,97.1999922240006,0.4293947,0.32,ak,ak10924951,2013-12-31T17:47:19.987Z,"34km W of Whittier, Alaska",earthquake
2013-12-31T13:03:06.000Z,66.1952,-149.0746,4.7,3.2,ml,36,57.5999953920004,0.432988,1.11,ak,ak10924947,2013-12-31T13:15:16.628Z,"128km SSE of Coldfoot, Alaska",earthquake
2013-12-31T12:39:24.000Z,33.7183,-116.8157,19.1,1.2,Ml,28,140.4,0.08084838,0.14,ci,ci11408202,2013-12-31T12:42:16.002Z,"7km ESE of Valle Vista, California",earthquake
2013-12-31T12:30:01.800Z,36.0197,-120.5853,3.7,1.4,Md,,115.2,0.04491576,0.07,nc,nc72133521,2013-12-31T14:14:07.330Z,"24km WSW of Coalinga, California",earthquake
2013-12-31T12:24:57.100Z,33.5063,-116.4692,9.7,1.1,Ml,13,97.2,0.07186522,0.05,ci,ci11408162,2013-12-31T12:27:05.879Z,"19km ESE of Anza, California",earthquake
2013-12-31T12:20:47.600Z,33.2093,-116.062,4.9,1.1,Ml,28,133.2,0.3054272,0.36,ci,ci11408154,2013-12-31T12:23:10.841Z,"13km SW of Salton City, California",earthquake
2013-12-31T11:54:13.000Z,62.8356,-148.3491,53.7,1.7,ml,25,46.7999962560003,0.09162816,0.69,ak,ak10924937,2013-12-31T11:59:29.042Z,"69km SSE of Cantwell, Alaska",earthquake
2013-12-31T11:45:04.300Z,33.4042,-116.3338,14.9,1,Ml,27,162,0.1527136,0.21,ci,ci11408122,2013-12-31T11:47:12.549Z,"16km NNE of Borrego Springs, California",earthquake
2013-12-31T11:42:19.400Z,37.3302,-122.431,9.4,1.9,Md,,201.6,0.07186522,0.06,nc,nc72133506,2013-12-31T13:31:02.775Z,"14km S of Half Moon Bay, California",earthquake
2013-12-31T10:45:28.020Z,-20.2756,-178.3935,570.91,4.6,mb,,74,4.199,0.93,us,usc000lup9,2013-12-31T11:15:58.000Z,"52km NE of Ndoi Island, Fiji",earthquake
