Src,EqId,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15162361,?,"Saturday, June 09, 2012 13:16:24 UTC",32.1227,-115.7268,2.6,5.1,?,"52km SSW of Progreso, Mexico"
us,b000abgb,?,"Saturday, June 09, 2012 12:02:47 UTC",51.5659,159.4344,5,21.36,?,"167km SSE of Vilyuchinsk, Russia"
us,b000abew,?,"Saturday, June 09, 2012 09:53:56 UTC",-60.3596,-26.6438,5.1,37.6,?,"147km S of Bristol Island, Antarctica"
ak,10489594,?,"Saturday, June 09, 2012 08:54:17 UTC",61.952,-150.5988,2.6,0.2,?,"37km NW of Willow, Alaska"
us,b000abe3,?,"Saturday, June 09, 2012 08:49:30 UTC",-2.9714,127.6509,5.1,38.12,?,"61km W of Piru, Indonesia"
us,b000abdl,?,"Saturday, June 09, 2012 07:54:10 UTC",28.3084,84.1021,4.8,20.61,?,"13km ENE of Pokhara, Nepal"
pr,12161001,?,"Saturday, June 09, 2012 07:33:26 UTC",18.6949,-64.289,3.4,40.8,?,"46km NE of Road Town, British Virgin Islands"
ak,10489574,?,"Saturday, June 09, 2012 06:52:24 UTC",59.8692,-153.1416,3.1,97.5,?,"72km SSW of Redoubt Volcano, Alaska"
us,b000abcm,?,"Saturday, June 09, 2012 06:19:22 UTC",16.2287,-98.2529,4.1,17.96,?,"27km WSW of Santiago Pinotepa Nacional, Mexico"
us,b000abbt,?,"Saturday, June 09, 2012 04:41:19 UTC",22.8295,120.5883,4.6,18.37,?,"20km NNE of Pingtung, Taiwan"
pr,12161000,?,"Saturday, June 09, 2012 04:18:41 UTC",18.6909,-68.8489,3.6,137,?,"17km WNW of Salvaleon de Higuey, Dominican Republic"
us,b000abbb,?,"Saturday, June 09, 2012 03:59:15 UTC",46.8357,152.3355,4.8,72.97,?,"Kuril Islands"
ak,10489530,?,"Saturday, June 09, 2012 03:58:05 UTC",62.9018,-150.6904,2.6,85.8,?,"70km NNW of Talkeetna, Alaska"
us,b000aba6,?,"Saturday, June 09, 2012 02:04:58 UTC",46.1578,12.5653,4.5,14.52,?,"7km W of Montereale Valcellina, Italy"
us,b000abaj,?,"Saturday, June 09, 2012 01:30:00 UTC",48.4278,153.1766,4.4,124.1,?,"Kuril Islands"
us,b000ab9e,?,"Saturday, June 09, 2012 00:55:30 UTC",-6.4601,129.5437,4.7,193.11,?,"255km NW of Saumlaki, Indonesia"
ci,15162145,?,"Friday, June 08, 2012 22:24:49 UTC",32.1048,-115.7627,3.7,7.1,?,"55km SSW of Progreso, Mexico"
ak,10489179,?,"Friday, June 08, 2012 20:59:30 UTC",62.0253,-151.4917,2.7,105.2,?,"79km WSW of Talkeetna, Alaska"
ak,10488928,?,"Friday, June 08, 2012 18:27:36 UTC",62.2171,-147.879,4.3,39.4,?,"69km NE of Sutton-Alpine, Alaska"
ak,10488909,?,"Friday, June 08, 2012 17:53:51 UTC",61.8917,-147.6837,2.7,48.6,?,"62km E of Sutton-Alpine, Alaska"
us,b000aani,?,"Friday, June 08, 2012 16:15:14 UTC",29.7476,50.6939,4.9,33.44,?,"25km NE of Bandar-e Ganaveh, Iran"
us,b000aaie,?,"Friday, June 08, 2012 12:54:27 UTC",-12.1596,-76.4789,4.6,9.88,?,"33km SE of Nicolas de Pierola, Peru"
us,b000aagw,?,"Friday, June 08, 2012 11:36:23 UTC",-7.9126,147.3144,4.7,34.82,?,"91km SE of Wau, Papua New Guinea"
us,b000aagx,?,"Friday, June 08, 2012 11:31:05 UTC",-30.773,150.54,4.3,17,?,"17km W of Manilla, Australia"
us,b000aaft,?,"Friday, June 08, 2012 10:47:09 UTC",-22.955,-175.4153,4.6,34.25,?,"185km SSW of `Ohonua, Tonga"
ak,10488767,?,"Friday, June 08, 2012 08:24:42 UTC",62.8562,-150.8066,3.1,94.6,?,"69km NNW of Talkeetna, Alaska"
us,b000aabt,?,"Friday, June 08, 2012 07:04:23 UTC",-5.8558,107.4206,4.5,303.52,?,"36km NNE of Rengasdengklok, Indonesia"
us,b000aabf,?,"Friday, June 08, 2012 06:29:12 UTC",3.6836,127.2614,4.9,35.16,?,"231km NNW of Tobelo, Indonesia"
us,b000aaak,?,"Friday, June 08, 2012 05:22:39 UTC",37.5284,141.9297,5,40.83,?,"82km E of Namie, Japan"
us,b000aaaj,?,"Friday, June 08, 2012 05:15:51 UTC",31.0525,130.8962,4.5,69.11,?,"30km SE of Ibusuki, Japan"
us,b000aaa8,?,"Friday, June 08, 2012 04:29:51 UTC",-4.2227,135.5493,4.6,35.03,?,"94km S of Nabire, Indonesia"
us,b000aaa6,?,"Friday, June 08, 2012 04:27:24 UTC",37.0254,138.4937,4.5,133.25,?,"21km E of Arai, Japan"
us,b000aa9w,?,"Friday, June 08, 2012 04:19:03 UTC",-1.6021,-81.5008,4.9,29.61,?,"90km NW of Salinas, Ecuador"
us,b000aa9s,?,"Friday, June 08, 2012 04:10:36 UTC",37.0565,141.1081,4.5,19.88,?,"20km E of Iwaki, Japan"
pr,12160001,?,"Friday, June 08, 2012 04:08:21 UTC",18.84,-67.8079,2.7,9.8,?,"69km ENE of Punta Cana, Dominican Republic"
us,b000aa91,?,"Friday, June 08, 2012 03:44:28 UTC",41.3543,20.8774,4.5,9.95,?,"6km NE of Belcista, Macedonia"
pr,12160000,?,"Friday, June 08, 2012 03:36:20 UTC",17.9449,-64.967,2.7,34.8,?,"35km NW of Christiansted, U.S Virgin Islands"
ci,15161345,?,"Friday, June 08, 2012 03:23:58 UTC",33.1772,-115.6183,2.6,1.2,?,"11km WNW of Calipatria, California"
ak,10488674,?,"Friday, June 08, 2012 03:14:38 UTC",62.8488,-150.3133,2.6,93.1,?,"59km N of Talkeetna, Alaska"
us,b000aa6c,?,"Friday, June 08, 2012 00:35:02 UTC",11.8039,-86.434,4.2,79.04,?,"4km S of San Rafael del Sur, Nicaragua"
us,b000aa4c,?,"Thursday, June 07, 2012 23:19:26 UTC",58.1043,-124.6641,4.1,14.47,?,"138km WSW of Fort Nelson, Canada"
us,b000aa2k,?,"Thursday, June 07, 2012 22:08:00 UTC",-7.3148,129.4253,4.3,145.33,?,"220km WNW of Saumlaki, Indonesia"
us,b000aa2e,?,"Thursday, June 07, 2012 22:02:36 UTC",2.6274,128.6229,4.5,105.58,?,"120km NE of Tobelo, Indonesia"
ak,10488536,?,"Thursday, June 07, 2012 21:26:38 UTC",53.5449,-164.9605,3,33.4,?,"84km SE of Akutan, Alaska"
us,b000a9zd,?,"Thursday, June 07, 2012 20:54:27 UTC",40.825,27.9058,4.9,10.01,?,"16km SSW of Marmaraereglisi, Turkey"
us,b000a9rj,?,"Thursday, June 07, 2012 18:02:42 UTC",-15.0626,-173.6819,4.8,29.18,?,"98km N of Hihifo, Tonga"
us,b000a9pn,?,"Thursday, June 07, 2012 17:06:46 UTC",-22.4102,-65.9226,4.8,251.86,?,"41km NW of Abra Pampa, Argentina"
us,b000a9lp,?,"Thursday, June 07, 2012 16:03:18 UTC",-15.9192,-72.5161,6,99.72,?,"54km W of Lluta, Peru"
nc,71797971,?,"Thursday, June 07, 2012 15:36:56 UTC",41.0918,-125.2598,2.8,24.1,?,"97km WNW of Bayview, California"
pr,12159002,?,"Thursday, June 07, 2012 15:20:03 UTC",19.3556,-66.0302,3.1,89.8,?,"98km N of San Juan, Puerto Rico"
pr,12159001,?,"Thursday, June 07, 2012 10:22:16 UTC",18.9629,-65.827,3.1,12.7,?,"59km N of Loiza, Puerto Rico"
us,b000a98w,?,"Thursday, June 07, 2012 10:17:15 UTC",41.348,20.8778,4.5,9.75,?,"6km NE of Belcista, Macedonia"
us,b000a97q,?,"Thursday, June 07, 2012 09:01:52 UTC",-20.125,-176.3017,5.9,271.45,?,"160km NW of Nuku`alofa, Tonga"
ak,10488324,?,"Thursday, June 07, 2012 08:54:14 UTC",51.4797,179.0378,2.7,64.5,?,"63km SE of Little Sitkin Island, Alaska"
hv,60356771,?,"Thursday, June 07, 2012 08:39:43 UTC",19.3703,-155.4955,2.7,7.5,?,"18km N of Pahala, Hawaii"
pr,12159000,?,"Thursday, June 07, 2012 08:26:27 UTC",19.329,-65.8509,3.1,6.1,?,"99km NNE of San Juan, Puerto Rico"
us,b000a972,?,"Thursday, June 07, 2012 07:40:55 UTC",-31.621,-71.4159,4.7,51.86,?,"23km W of Illapel, Chile"
ci,15160505,?,"Thursday, June 07, 2012 06:17:52 UTC",32.2292,-115.2417,2.6,10,?,"6km W of Alberto Oviedo Mota, Mexico"
us,b000a96h,?,"Thursday, June 07, 2012 06:04:00 UTC",-25.8848,-177.271,4.8,114.42,?,"South of the Fiji Islands"
us,b000a95z,?,"Thursday, June 07, 2012 05:17:11 UTC",-0.8987,133.3155,4.7,41.36,?,"85km W of Manokwari, Indonesia"
hv,60356691,?,"Thursday, June 07, 2012 04:59:48 UTC",19.3282,-155.3843,2.7,31.8,?,"16km NE of Pahala, Hawaii"
us,b000a95q,?,"Thursday, June 07, 2012 04:05:05 UTC",-35.9934,-70.7722,5.8,6.98,?,"76km ESE of Linares, Chile"
hv,60356676,?,"Thursday, June 07, 2012 03:42:16 UTC",19.4455,-155.2403,2.7,30.8,?,"1km N of Volcano, Hawaii"
us,b000a950,?,"Thursday, June 07, 2012 01:10:30 UTC",1.6063,126.6232,4.9,52.35,?,"122km NW of Kota Ternate, Indonesia"
us,b000a94r,?,"Thursday, June 07, 2012 00:02:31 UTC",-22.8237,-174.6739,5.1,30.83,?,"167km S of `Ohonua, Tonga"
hv,60356421,?,"Wednesday, June 06, 2012 18:53:36 UTC",19.4615,-155.2595,2.6,8.3,?,"4km NNW of Volcano, Hawaii"
us,b000a8pg,?,"Wednesday, June 06, 2012 16:55:57 UTC",1.4651,126.3482,5,7.93,?,"129km E of Bitung, Indonesia"
pr,12158003,?,"Wednesday, June 06, 2012 16:43:33 UTC",18.5529,-64.247,2.8,69,?,"41km ENE of Road Town, British Virgin Islands"
ak,10487720,?,"Wednesday, June 06, 2012 16:27:14 UTC",52.7078,-169.4975,3.2,4.8,?,"49km WSW of Nikolski, Alaska"
us,b000a8ne,?,"Wednesday, June 06, 2012 16:16:19 UTC",51.6665,96.2028,4.7,14.2,?,"45km ENE of Saryg-Sep, Russia"
pr,12158004,?,"Wednesday, June 06, 2012 16:15:44 UTC",19.0049,-65.7559,2.8,75,?,"64km N of Vieques, Puerto Rico"
ak,10487678,?,"Wednesday, June 06, 2012 15:51:04 UTC",57.1405,-156.9017,2.7,91.8,?,"150km NE of Chignik Lake, Alaska"
us,b000a8m4,?,"Wednesday, June 06, 2012 15:38:29 UTC",-1.1658,27.1144,4.8,13.99,?,"219km WNW of Sake, Democratic Republic of the Congo"
ak,10487659,?,"Wednesday, June 06, 2012 15:08:35 UTC",59.9388,-153.3781,2.6,153.5,?,"70km SSW of Redoubt Volcano, Alaska"
